rank,character_tag,copyrights,post_count,recent_post_count,first_seen_at,character_age_days,recent_ratio,growth_score,birth_confidence,lifecycle_notes
100,sumino_takumi,the_hundred_line_-last_defense_academy-|pokemon|danganronpa_(series)|danganronpa_2:_goodbye_despair|alice's_adventures_in_wonderland,3791,1054,2024-06-20T00:53:07.510000+00:00,681,0.278027,0.222839,0.0,
101,aotsuki_eito,the_hundred_line_-last_defense_academy-|danganronpa_(series)|danganronpa_2:_goodbye_despair|alice's_adventures_in_wonderland|pokemon,3825,1058,2024-06-20T00:53:07.510000+00:00,681,0.276601,0.222582,0.0,
102,fujimaru_ritsuka_(male),fate_(series)|fate/grand_order|original|fate/stay_night|fate/strange_fake,5210,1382,2024-05-04T20:57:07.397000+00:00,727,0.265259,0.222482,0.0,
103,link,the_legend_of_zelda|the_legend_of_zelda:_breath_of_the_wild|the_legend_of_zelda:_tears_of_the_kingdom|the_legend_of_zelda:_twilight_princess|the_legend_of_zelda:_ocarina_of_time,6164,1516,2024-05-04T21:12:37.583000+00:00,727,0.245944,0.222398,0.0,
104,kel_(omori),omori|undertale|utdr_(toby_fox)|pokemon|friday_night_funkin',3389,1054,2024-05-05T03:11:12.872000+00:00,727,0.311006,0.222231,0.0,
105,shirakami_fubuki,hololive|hololive_english|hololive_dev_is|pokemon|hololive_indonesia,5561,1424,2024-05-04T18:23:00.916000+00:00,727,0.256069,0.221515,0.0,
106,cloud_strife,final_fantasy|final_fantasy_vii|final_fantasy_vii_remake|final_fantasy_vii:_ever_crisis|final_fantasy_vii:_advent_children,7394,1650,2024-05-05T01:00:41.780000+00:00,727,0.223154,0.22127,0.0,
107,kagamine_rin,vocaloid|project_sekai|utau|piapro_studio|roshin_yuukai_(vocaloid),4832,1310,2024-05-04T18:04:25.113000+00:00,727,0.271109,0.22117,0.0,
108,nico_robin,one_piece|one_piece_(live_action)|one_piece_film:_red|one_piece_card_game|one_piece_film:_z,3249,1010,2024-05-05T04:34:27.284000+00:00,727,0.310865,0.220313,0.0,
109,patchouli_knowledge,touhou|embodiment_of_scarlet_devil|marisa_of_liartop_mountain|touhou_lostword|touhou_(pc-98),3232,1004,2024-05-04T17:52:39.182000+00:00,727,0.310644,0.219991,0.0,
110,gotoh_hitori,bocchi_the_rock!|pokemon|chainsaw_man|minecraft|comiket_107,7388,1631,2024-05-04T18:22:10.291000+00:00,727,0.220763,0.219744,0.0,
111,amiya_(arknights),arknights|ambience_synesthesia|arknights:_endfield|white_rabbit_candy|project_moon,4169,1180,2024-05-04T23:52:40.922000+00:00,727,0.283041,0.21921,0.0,
112,yor_briar,spy_x_family|resident_evil|resident_evil_4|resident_evil_4_(remake)|chainsaw_man,3298,1009,2024-05-04T20:19:11.586000+00:00,727,0.305943,0.218794,0.0,
113,togawa_sakiko,bang_dream!|bang_dream!_it's_mygo!!!!!|arknights|yumenokessho|sweets_paradise,8803,1756,2024-05-04T18:29:28.736000+00:00,727,0.199477,0.218684,0.0,
114,zani_(wuthering_waves),wuthering_waves|pizza-la|zenless_zone_zero|umamusume|genshin_impact,4494,803,2024-11-21T17:01:37.334000+00:00,526,0.178683,0.217729,0.0,
115,mari_(omori),omori|utdr_(toby_fox)|pokemon|undertale|yume_nikki,3090,945,2024-05-04T22:14:33.085000+00:00,727,0.305825,0.216032,0.0,
116,kisaki_(blue_archive),blue_archive|comiket_107|blue_archive_the_animation|original|comiket_106,6547,1491,2024-05-04T17:11:19.087000+00:00,727,0.227738,0.215871,0.0,
117,kiana_kaslana,honkai_(series)|honkai_impact_3rd|honkai_gakuen|honkai:_star_rail|mihoyo,3221,969,2024-05-05T14:06:40.639000+00:00,726,0.300838,0.215787,0.0,
118,fujimaru_ritsuka_(female),fate_(series)|fate/grand_order|original|fate/strange_fake|learning_with_manga!_fgo,3790,1065,2024-05-05T00:03:09.436000+00:00,727,0.281003,0.213698,0.0,
