rank,character_tag,copyrights,post_count,recent_post_count,popularity_score,copyright_confidence,needs_review,notes
146,inkling_player_character,splatoon_(series)|splatoon_3|pokemon|splatoon_2|splatoon_1,4619,529,0.574056,1.0,False,
147,ishmael_(project_moon),project_moon|limbus_company|arknights|lobotomy_corporation|library_of_ruina,3786,984,0.573936,1.0,False,
148,omori_(omori),omori|yume_nikki|utdr_(toby_fox)|undertale|deltarune,3477,1171,0.573661,1.0,False,
149,koharu_(blue_archive),blue_archive|jujutsu_kaisen|densetsu.exe|original|dream_pool,3926,879,0.573329,1.0,False,
150,shiroko_(blue_archive),blue_archive|kamen_rider|kamen_rider_dcd|jujutsu_kaisen|minecraft,4077,785,0.573132,1.0,False,
151,akemi_homura,mahou_shoujo_madoka_magica|mahou_shoujo_madoka_magica_(anime)|mahou_shoujo_madoka_magica:_hangyaku_no_monogatari|mahou_shoujo_madoka_magica:_walpurgis_no_kaiten|mahou_shoujo_madoka_magica_magia_exedra,4091,775,0.573073,1.0,False,
152,plana_(blue_archive),blue_archive|comiket_107|pokemon|jujutsu_kaisen|kamen_rider,3787,938,0.572634,1.0,False,
153,castorice_(honkai:_star_rail),honkai:_star_rail|honkai_(series)|genshin_impact|zenless_zone_zero|mihoyo,3964,804,0.571816,1.0,False,
154,rice_shower_(umamusume),umamusume|pacific_racing_team|real_life|project_moon|zenless_zone_zero,3306,1210,0.57144,1.0,False,
155,baobhan_sith_(fate),fate/grand_order|fate_(series)|original|fate/strange_fake|pokemon,4067,703,0.570618,1.0,False,
156,vivian_banshee,zenless_zone_zero|comiket_107|honkai:_star_rail|honkai_(series)|mihoyo,3694,921,0.5705,1.0,False,
157,monkey_d._luffy,one_piece|one_piece_(live_action)|one_piece_card_game|one_piece_film:_gold|dragon_ball,3636,944,0.570112,1.0,False,
158,yugiri_tsuzuri,link!_like!_love_live!|love_live!|love_live!_hasu_no_sora_jogakuin_school_idol_club_bloom_garden_party|love_live!_nijigasaki_high_school_idol_club|bang_dream!,4390,502,0.569915,1.0,False,
